_id,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,LPG_DISTRIBUTION_COMPANY_ID,LPG_DISTRIBUTION_COMPANY_DESC,FACILITY_TYPE_ID,FACILITY_TYPE_DESC,COUNTY_UAVT_CODE,COUNTY_NAME,NEIGHBORHOOD_UAVT_CODE,NEIGHBORHOOD_NAME,LATITUDE,LONGTITUDE
458,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2050,BAŞAKŞEHİR,40871,BAHÇEŞEHİR 1. KISIM,41.0598117,28.69920805
459,2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2048,ARNAVUTKÖY,40483,BOĞAZKÖY İSTİKLAL,41.15123592,28.78779368
460,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40884,KUMBURGAZ,41.02773619,28.46297747
461,2,Akaryakıt Lpg,32,Çekoil,-99,Bilinmiyor,1,Aktif,2052,ÇEKMEKÖY,40752,NİŞANTEPE,41.04312366,29.27602181
462,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1325,EYÜPSULTAN,40361,DEFTERDAR,41.03746456,28.92574623
463,1,Akaryakıt,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,1823,KÜÇÜKÇEKMECE,40582,ATAKENT,41.06121582,28.77545646
464,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1449,KARTAL,40565,ORTA,40.91055037,29.21150787
465,2,Akaryakıt Lpg,12,Petrol Ofisi,36,Petro Gaz,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.05882767,28.83104024
466,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1604,SARIYER,40673,POLİGON,41.11233072,29.04087981
467,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1663,ŞİŞLİ,40697,HALİL RIFAT PAŞA,41.05850689,28.9656509
468,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,2053,ESENYURT,181508,SULTANİYE,41.02169457,28.68757661
469,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2049,ATAŞEHİR,40533,KAYIŞDAĞI,40.97938354,29.12716424
470,1,Akaryakıt,10,Opet,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,41.06387731,28.32291996
471,1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1327,FATİH,99142,ZEYREK,41.01670771,28.95509422
472,2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2052,ÇEKMEKÖY,191999,SIRAPINAR,41.10996478,29.3107026
473,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2053,ESENYURT,181500,ZAFER,41.01160712,28.67935911
474,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1604,SARIYER,40704,MASLAK,41.1157716,29.02328368
475,2,Akaryakıt Lpg,22,KadOil,29,Mogaz,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,41.02319873,28.6186876
476,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40606,FATİH,40.98684199,28.76996141
477,1,Akaryakıt,7,Enerji Petrol,-99,Bilinmiyor,1,Aktif,2014,SULTANBEYLİ,40947,TURGUT REİS,40.96441708,29.28132338
478,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1663,ŞİŞLİ,40687,BOZKURT,41.04841645,28.98502515
479,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2054,SANCAKTEPE,40574,VEYSEL KARANİ,40.9749286,29.24066147
480,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1166,BAKIRKÖY,40197,KARTALTEPE,40.98784904,28.88374387
481,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2015,TUZLA,40729,ORTA,40.89881483,29.36930541
482,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2012,MALTEPE,40618,GİRNE,40.93891894,29.13621962
483,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40933,FEVZİPAŞA,41.09495896,27.99693737
484,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,41.11753578,28.6294065
485,2,Akaryakıt Lpg,12,Petrol Ofisi,14,Bp Gaz,1,Aktif,2016,ESENLER,40355,ORUÇREİS,41.07131312,28.86789576
486,1,Akaryakıt,15,Total,-99,Bilinmiyor,1,Aktif,2003,AVCILAR,,,41.05779921,28.71278394
487,2,Akaryakıt Lpg,12,Petrol Ofisi,37,Petrol Ofisi,1,Aktif,2052,ÇEKMEKÖY,,,41.07607571,29.27753471
488,2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,2050,BAŞAKŞEHİR,40583,KAYABAŞI,,
489,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,2015,TUZLA,40722,ŞİFA,40.8172561,29.36250854
